,lake,tsi,trophic_status,lake_lat,lake_long
277,Tatton mere -wfd,61.73539983,eutrophic,53.323,-2.369
278,Techill mere,65.68002919,eutrophic,52.91,-2.889
279,Thompson water,60.24161205,eutrophic,52.517,0.819
280,Thompson water -control 2A,51.74673697,eutrophic,52.518,0.821
281,Thompson water -control 3,58.53094207,eutrophic,52.518,0.821
282,Thompson water -impact 1,65.18947403,eutrophic,52.517,0.819
283,Thompson water -impact 2,62.34087691,eutrophic,52.517,0.82
284,Thompson water -impact 3,63.18569409,eutrophic,52.517,0.82
285,Fleet lake,53.16020618,eutrophic,51.408,-0.51
286,Thrapston lake,62.25037428,eutrophic,52.402,-0.542
287,Thunder lake,67.71652811,eutrophic,54.15,-114.75
288,Tucker lake,60.17849756,eutrophic,54.536,-110.631
289,Turnershill marsh,64.6642592,eutrophic,51.706,-0.017
290,Turnford marsh lake,50.82196542,eutrophic,51.719,-0.019
291,Trehörningen,50.39409679,eutrophic,59.531,18.355
292,Trout bog,66.68889367,eutrophic,46.041,-89.686
293,Tuesday lake,51.30291028,eutrophic,49.113,-89.484
294,Tåkern -glänås,62.48934186,eutrophic,58.35,14.824
295,Upton great broad,51.99577257,eutrophic,52.666,1.533
296,Upton little broad,54.87896686,eutrophic,52.665,1.538
297,Ulvhällsfjärden,57.85579001,eutrophic,59.368,17.055
298,Vincent lake,58.60585111,eutrophic,54.115,-111.349
299,Virginia water,56.53415749,eutrophic,51.408,-0.596
300,Västeråsfjärden N.,59.32775455,eutrophic,59.593,16.553
301,Västra Ringsjön,66.35283547,eutrophic,55.884,13.48
302,Wabamun lake -east basin,53.08119882,eutrophic,53.54,-114.531
303,Wabamun lake -main basin,54.80403127,eutrophic,53.54,-114.531
304,Wabamun lake -west basin,55.4543099,eutrophic,53.556,-114.686
305,Westbere lakes,66.05280658,eutrophic,51.301,1.142
306,Westbere lakes point 1,66.38058724,eutrophic,51.303,1.146
307,White mere,63.62666463,eutrophic,52.893,-2.875
308,Winagami lake,65.80189275,eutrophic,55.617,-116.733
309,Wroxham broad,67.02221835,eutrophic,52.699,1.416
310,Waynewood lake,54.50233668,eutrophic,41.396,-75.363
311,West long lake,51.76312934,eutrophic,46.24,-89.5
312,Windermere -south basin,51.78342413,eutrophic,54.33,-2.94
313,Wingra,58.85549072,eutrophic,43.053,-89.425
314,Ymsen,62.07527446,eutrophic,58.667,13.968
315,Hamilton harbour,55.27744659,eutrophic,43.297,-79.799
316,Taihu,67.97317403,eutrophic,31.271,120.219
317,Älgsjön,56.20414061,eutrophic,59.206,17.088
318,Öljaren,57.77743176,eutrophic,59.159,15.954
319,Östra Ringsjön,63.46402669,eutrophic,55.874,13.49
320,Bergundasjön N.,70.87371173,hypereutrophic,56.865,14.758
321,Betley mere,72.70166675,hypereutrophic,53.028,-2.376
322,Betley mere jetty,71.64087758,hypereutrophic,53.029,-2.374
323,Fordwich lake,73.38877769,hypereutrophic,51.296,1.134
324,Fjällfotasjön,71.26143801,hypereutrophic,55.521,13.302
325,Hardley flood,77.00092023,hypereutrophic,52.542,1.508
326,Hoveton little broad E.,71.13970701,hypereutrophic,52.706,1.448
327,Hemfjärden,73.96049424,hypereutrophic,59.282,15.339
328,Hemfjärden,73.96049424,hypereutrophic,59.282,15.339
329,Lac la nonne,70.43970912,hypereutrophic,53.943,-114.314
330,Lower mann lake,75.0285683,hypereutrophic,54.175,-111.519
331,Mellanfjärden,74.85153176,hypereutrophic,59.278,15.491
332,Mellanfjärden,74.85153176,hypereutrophic,58.738,17.072
333,North point lake,73.1250321,hypereutrophic,50.945,0.756
334,Pakowki lake -central,80.20537554,hypereutrophic,49.346,-110.928
335,Ranworth broad,71.21743246,hypereutrophic,52.685,1.483
337,Sandy lake -north basin,78.80672919,hypereutrophic,53.809,-114.049
338,Sandy lake -south basin,73.453847,hypereutrophic,53.772,-114.03
339,Shearwater lake outflow,72.50205207,hypereutrophic,51.18,-2.212
340,South walsham broad,75.87580187,hypereutrophic,52.672,1.508
341,South walsham broad -edge,80.56266548,hypereutrophic,52.672,1.507
342,Stanborough sailing lake,75.68885471,hypereutrophic,51.783,-0.218
343,Thompson water -control 1B,72.881313,hypereutrophic,52.52,0.822
344,Thompson water -control 2B,72.98205666,hypereutrophic,52.519,0.822
345,Kasumigaura,74.97970703,hypereutrophic,36.051,140.378
