,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
15946,1964-10-27,1964,10,27,301,46,,4.5,,,,,,,160.0,,,,,,,,,Esthwaite water
6713,1964-10-27,1964,10,27,301,46,,10.5,,,,,,,170.0,,,,,,,,,Belhalm tarn
45692,1964-10-27,1964,10,27,301,51,,6.42,,,,,,,190.0,,,10.45,,,,,,Windermere -north basin
45693,1964-11-03,1964,11,3,308,51,,3.29,,,,,,,240.0,,,9.9,,,,,,Windermere -north basin
47553,1964-11-03,1964,11,3,308,51,,4.37,,,,,,,210.0,,,10.65,,,,,,Windermere -south basin
6714,1964-11-03,1964,11,3,308,46,,7.3,,,,,,,180.0,,,8.5,,,,,,Belhalm tarn
15947,1964-11-03,1964,11,3,308,46,,5.1,,,,,,,130.0,,,9.1,,,,,,Esthwaite water
15948,1964-11-10,1964,11,10,315,46,,7.14,,,,,,,180.0,,,8.3,,,,,,Esthwaite water
6715,1964-11-10,1964,11,10,315,46,,7.2,,,,,,,190.0,,,7.3,,,,,,Belhalm tarn
45694,1964-11-10,1964,11,10,315,51,,3.43,,,,,,,250.0,,,9.35,,,,,,Windermere -north basin
47554,1964-11-10,1964,11,10,315,51,,4.32,,,,,,,260.0,,,9.95,,,,,,Windermere -south basin
47555,1964-11-17,1964,11,17,322,51,,2.41,,,,,,,270.0,,,9.25,,,,,,Windermere -south basin
6716,1964-11-17,1964,11,17,322,46,,5.3,,,,,,,220.0,,,7.2,,,,,,Belhalm tarn
15949,1964-11-17,1964,11,17,322,46,,8.07,,,,,,,200.0,,,7.6,,,,,,Esthwaite water
45695,1964-11-17,1964,11,17,322,51,,2.61,,,,,,,280.0,,,8.65,,,,,,Windermere -north basin
6717,1964-11-24,1964,11,24,329,46,,4.2,,,,,,,250.0,,,8.1,,,,,,Belhalm tarn
15950,1964-11-24,1964,11,24,329,46,,8.44,,,,,,,210.0,,,8.3,,,,,,Esthwaite water
47556,1964-11-24,1964,11,24,329,51,,1.65,,,,,,,250.0,,,9.3,,,,,,Windermere -south basin
45696,1964-11-24,1964,11,24,329,51,,2.07,,,,,,,240.0,,,8.7,,,,,,Windermere -north basin
15951,1964-12-01,1964,12,1,336,46,,8.59,,,,,,,230.0,,,7.0,,,,,,Esthwaite water
45697,1964-12-01,1964,12,1,336,51,,1.65,,,,,,,310.0,,,8.0,,,,,,Windermere -north basin
6718,1964-12-01,1964,12,1,336,46,,3.4,,,,,,,300.0,,,6.5,,,,,,Belhalm tarn
47557,1964-12-01,1964,12,1,336,51,,2.28,,,,,,,300.0,,,8.65,,,,,,Windermere -south basin
47558,1964-12-08,1964,12,8,343,51,,1.96,,,,,,,370.0,,,8.2,,,,,,Windermere -south basin
15952,1964-12-08,1964,12,8,343,46,,5.73,,,,,,,290.0,,,6.4,,,,,,Esthwaite water
45698,1964-12-08,1964,12,8,343,51,,1.29,,,,,,,290.0,,,7.4,,,,,,Windermere -north basin
47559,1964-12-15,1964,12,15,350,51,,1.65,,,,,,,370.0,,,7.15,,,,,,Windermere -south basin
45699,1964-12-15,1964,12,15,350,51,,0.84,,,,,,,350.0,,,6.9,,,,,,Windermere -north basin
6719,1964-12-15,1964,12,15,350,46,,1.8,,,,,,,330.0,,,6.0,,,,,,Belhalm tarn
15953,1964-12-15,1964,12,15,350,46,,4.09,,,,,,,370.0,,,6.2,,,,,,Esthwaite water
45700,1964-12-22,1964,12,22,357,51,,0.69,,,,,,,,,,6.5,,,,,,Windermere -north basin
15954,1964-12-22,1964,12,22,357,46,,3.54,,,,,,,,,,4.8,,,,,,Esthwaite water
6720,1964-12-22,1964,12,22,357,46,,1.2,,,,,,,320.0,,,4.7,,,,,,Belhalm tarn
47560,1964-12-22,1964,12,22,357,51,,1.39,,,,,,,,,,6.45,,,,,,Windermere -south basin
47561,1964-12-29,1964,12,29,364,51,,1.62,,,,,,,340.0,,,5.3,,,,,,Windermere -south basin
