lake_lat,lake_long,lake
50.563,-3.646,Stover lake
50.285,-3.651,Slapton ley
52.518,0.82,Thompson water -control 1A
52.518,0.821,Thompson water -control 2A
52.518,0.821,Thompson water -control 3
52.517,0.819,Thompson water -impact 1
52.517,0.82,Thompson water -impact 2
52.517,0.82,Thompson water -impact 3
54.363,-2.719,Skelsmergh tarn
52.52,0.822,Thompson water -control 1B
52.519,0.822,Thompson water -control 2B
53.029,-2.378,Betley mere inlet
52.734,1.493,Herons carr S.
53.351,-2.388,Rostherne mere -bankside
58.735,12.55,Alfhildsgrund W.
58.718,13.135,Kållandsö N
62.608,16.896,Kånkåstjärnen
58.846,12.814,Megrundet W
56.284,14.705,Stora Ålagylet
56.868,14.559,Salen norra delen
59.466,17.269,Grönsöfjärden Selaön
58.22,16.674,Gåsen
59.355,17.298,Kolsundet W.
59.435,18.19,Kyrkfjärden
58.91,16.779,Långhalsen Torpfjärden
58.046,15.779,Nimmern lake
59.457,17.935,Norrviken -site 3
59.52,16.613,Ridöfjärden
59.612,17.721,Sigtunafjärden
59.895,18.909,Stäket
58.35,14.824,Tåkern -glänås
58.372,15.831,Svinstadsjön
