Lake,lat,long
"Ottnaren, djupområde mellan Lill-ön - Vackervalludden",60.49344794,16.6237984
OTASAN LAKE (L23): RAMP BM9 - COMPOSITE - (AB07KF0200),57.7072,-112.3875
OSTER LAKE - COMPOSITE - (AB05EB5190),53.62664,-112.91225
"Osbysjön, Norra Osbysjön",56.37451417,13.99734575
"Orranäsasjön, profundal",56.84746633,15.70690438
ORLOFF LAKE - COMPOSITE - (AB07CB0820),55.38889,-113.4875
"Oppmannasjön, Arkelstorpsviken",56.16093198,14.27863205
Oppmannasjön,56.08323921,14.34580404
Ontario,43.31361,-79.75083
Oneida,43.2046,-75.9231
OIS LAKE (L17) - COMPOSITE - (AB07JB0130),57.18694,-113.57
Octopus,50.617297,-99.924008
OAKLEY LAKE - COMPOSITE - (AB07BE0640),54.78333,-112.74583
"Nysockensjön, Storön",59.7469484,12.4725308
NORTH WABASCA LAKE - COMPOSITE - (AB07JA0210),56.06386,-113.93742
NORTH TEA LAKE - COMPOSITE - (AB07BK0160),54.79722,-115.02528
NORTH LELAND LAKE - COMPOSITE - (AB07NB0010),59.95472,-111.00861
NORTH BUCK LAKE - COMPOSITE - (AB06AA0340),54.68417,-112.56583
